# packages in environment at /u/tsiokano/miniforge3/envs/hydromt-wflow-wmo:
#
# Name                    Version                   Build  Channel
libxcb                    1.17.0               h8a09558_0    conda-forge
libxml2                   2.15.1               he237659_1    conda-forge
libxml2-16                2.15.1               hca6bf5a_1    conda-forge
libxml2-devel             2.15.1               he237659_1    conda-forge
libzip                    1.11.2               h6991a6a_0    conda-forge
libzlib                   1.3.1                hb9d3cd8_2    conda-forge
llvmlite                  0.46.0          py314h946fb2a_0    conda-forge
locket                    1.0.0              pyhd8ed1ab_0    conda-forge
lz4                       4.4.5           py314hd4c109c_1    conda-forge
lz4-c                     1.10.0               h5888daf_1    conda-forge
lzo                       2.10              h280c20c_1002    conda-forge
mapclassify               2.10.0             pyhd8ed1ab_1    conda-forge
markupsafe                3.0.3              pyh7db6752_0    conda-forge
matplotlib-base           3.10.8          py314h1194b4b_0    conda-forge
mercantile                1.2.1              pyhd8ed1ab_1    conda-forge
minizip                   4.0.10               h05a5f5f_0    conda-forge
msgpack-python            1.1.2           py314h9891dd4_1    conda-forge
multidict                 6.7.1              pyh62beb40_0    conda-forge
munkres                   1.1.4              pyhd8ed1ab_1    conda-forge
muparser                  2.3.5                h5888daf_0    conda-forge
narwhals                  2.17.0             pyhcf101f3_0    conda-forge
ncurses                   6.5                  h2d0b736_3    conda-forge
netcdf4                   1.7.4           nompi_py314h4ae7121_102    conda-forge
networkx                  3.6.1              pyhcf101f3_0    conda-forge
nlohmann_json             3.12.0               h54a6638_1    conda-forge
numba                     0.63.1          py314h8169c2f_0    conda-forge
numba_celltree            0.4.1              pyhd8ed1ab_0    conda-forge
numcodecs                 0.16.5          py314ha0b5721_0    conda-forge
numpy                     2.3.5           py314h2b28147_1    conda-forge
openjpeg                  2.5.4                h55fea9a_0    conda-forge
openssl                   3.6.1                h35e630c_1    conda-forge
orc                       2.2.2                hbb90d81_1    conda-forge
packaging                 26.0               pyhcf101f3_0    conda-forge
pandas                    2.3.3           py314ha0b5721_2    conda-forge
partd                     1.4.2              pyhd8ed1ab_0    conda-forge
pathlib-abc               0.5.2              pyh9692d8f_0    conda-forge
pcre2                     10.47                haa7fec5_0    conda-forge
pillow                    12.1.1          py314h8ec4b1a_0    conda-forge
pip                       26.0.1             pyh145f28c_0    conda-forge
platformdirs              4.9.2              pyhcf101f3_0    conda-forge
pooch                     1.9.0              pyhd8ed1ab_0    conda-forge
proj                      9.7.1                he0df7b0_3    conda-forge
prometheus-cpp            1.3.0                ha5d0236_0    conda-forge
propcache                 0.3.1              pyhe1237c8_0    conda-forge
psutil                    7.2.2           py314h0f05182_0    conda-forge
pthread-stubs             0.4               hb9d3cd8_1002    conda-forge
pyarrow                   23.0.1          py314hdafbbf9_0    conda-forge
pyarrow-core              23.0.1          py314h969be7f_0_cpu    conda-forge
pydantic                  2.12.5             pyhcf101f3_1    conda-forge
pydantic-core             2.41.5          py314h2e6c369_1    conda-forge
pydantic-settings         2.13.1             pyhd8ed1ab_0    conda-forge
pyflwdir                  0.5.10             pyhd8ed1ab_1    conda-forge
pyogrio                   0.12.1          py314hbcf5174_0    conda-forge
pyparsing                 3.3.2              pyhcf101f3_0    conda-forge
pyproj                    3.7.2           py314h24aeaa0_2    conda-forge
pysocks                   1.7.1              pyha55dd90_7    conda-forge
pystac                    1.14.3             pyhd8ed1ab_0    conda-forge
python                    3.14.3          h32b2ec7_101_cp314    conda-forge
python-dateutil           2.9.0.post0        pyhe01879c_2    conda-forge
python-dotenv             1.2.1              pyhcf101f3_0    conda-forge
python-tzdata             2025.3             pyhd8ed1ab_0    conda-forge
python_abi                3.14                    8_cp314    conda-forge
pytz                      2025.2             pyhd8ed1ab_0    conda-forge
pyyaml                    6.0.3           py314h67df5f8_1    conda-forge
qhull                     2020.2               h434a139_5    conda-forge
rasterio                  1.5.0           py314ha1f92a4_0    conda-forge
re2                       2025.11.05           h5301d42_1    conda-forge
readline                  8.3                  h853b02a_0    conda-forge
requests                  2.32.5             pyhcf101f3_1    conda-forge
rioxarray                 0.21.0             pyhd8ed1ab_0    conda-forge
s2n                       1.7.0                ha63dd3a_1    conda-forge
scikit-learn              1.8.0           np2py314hf09ca88_1    conda-forge
scipy                     1.17.1          py314hf07bd8e_0    conda-forge
setuptools                82.0.0             pyh332efcf_0    conda-forge
shapely                   2.1.2           py314hbe3edd8_2    conda-forge
six                       1.17.0             pyhe01879c_1    conda-forge
snappy                    1.2.2                h03e3b7b_1    conda-forge
snuggs                    1.4.7              pyhd8ed1ab_2    conda-forge
sortedcontainers          2.4.0              pyhd8ed1ab_1    conda-forge
sqlite                    3.51.2               h04a0ce9_0    conda-forge
tblib                     3.2.2              pyhcf101f3_0    conda-forge
threadpoolctl             3.6.0              pyhecae5ae_0    conda-forge
tk                        8.6.13          noxft_h366c992_103    conda-forge
tomli                     2.4.0              pyhcf101f3_0    conda-forge
tomli-w                   1.2.0              pyhd8ed1ab_0    conda-forge
toolz                     1.1.0              pyhd8ed1ab_1    conda-forge
tornado                   6.5.3           py314h5bd0f2a_0    conda-forge
typing-extensions         4.15.0               h396c80c_0    conda-forge
typing-inspection         0.4.2              pyhd8ed1ab_1    conda-forge
typing_extensions         4.15.0             pyhcf101f3_0    conda-forge
tzdata                    2025c                hc9c84f9_1    conda-forge
unicodedata2              17.0.1          py314h5bd0f2a_0    conda-forge
universal_pathlib         0.3.10             pyhd8ed1ab_0    conda-forge
uriparser                 0.9.8                hac33072_0    conda-forge
urllib3                   2.6.3              pyhd8ed1ab_0    conda-forge
wrapt                     2.1.1           py314h5bd0f2a_0    conda-forge
xarray                    2026.2.0           pyhcf101f3_0    conda-forge
xerces-c                  3.3.0                hd9031aa_1    conda-forge
xmltodict                 1.0.4              pyhcf101f3_0    conda-forge
xorg-libxau               1.0.12               hb03c661_1    conda-forge
xorg-libxdmcp             1.1.5                hb03c661_1    conda-forge
xugrid                    0.14.3             pyhd8ed1ab_0    conda-forge
xyzservices               2025.11.0          pyhd8ed1ab_0    conda-forge
yaml                      0.2.5                h280c20c_3    conda-forge
yarl                      1.22.0             pyh7db6752_0    conda-forge
zarr                      3.1.5              pyhcf101f3_0    conda-forge
zict                      3.0.0              pyhd8ed1ab_1    conda-forge
zipp                      3.23.0             pyhcf101f3_1    conda-forge
zlib                      1.3.1                hb9d3cd8_2    conda-forge
zlib-ng                   2.3.3                hceb46e0_1    conda-forge
zstd                      1.5.7                hb78ec9c_6    conda-forge
